Age,City,Current Salary,Future Salary
24,Hyderabad,40000,72500
24,Kolkata,18000,27000
21,Jaipur,28000,47500
21,Kolkata,22000,37500
35,Delhi,89000,123000
31,Pune,61000,94000
23,Pune,34000,61000
29,Mumbai,68000,108500
23,Pune,31000,55000
27,Chennai,54000,84500
28,Ahmedabad,55000,89500
26,Chennai,42000,72500
26,Ahmedabad,34000,54000
29,Bangalore,52000,96000
22,Mumbai,25000,44500
31,Ahmedabad,70000,101000
29,Jaipur,55000,85000
34,Hyderabad,66000,102000
37,Mumbai,102000,161500
26,Kolkata,45000,69500
35,Bangalore,79000,129000
38,Chennai,111000,158500
26,Jaipur,31000,51500
37,Lucknow,93000,128000
25,Jaipur,23000,35500
31,Pune,68000,110500
28,Mumbai,58000,98000
36,Ahmedabad,101000,148500
26,Jaipur,32000,51000
30,Jaipur,66000,101500
24,Pune,36000,71000
38,Mumbai,109000,159500
28,Mumbai,70000,111500
28,Jaipur,43000,63000
36,Hyderabad,98000,161500
24,Kolkata,36000,60500
22,Pune,38000,68000
28,Ahmedabad,50000,74000
34,Hyderabad,93000,144500
35,Jaipur,74000,110000
23,Ahmedabad,35000,59000
27,Kolkata,37000,58500
33,Kolkata,76000,106500
36,Hyderabad,93000,150500
38,Bangalore,123000,198500
36,Jaipur,76000,109500
26,Kolkata,46000,75000
28,Mumbai,47000,78000
37,Pune,98000,159500
29,Ahmedabad,47000,72500
23,Lucknow,24000,38500
23,Chennai,24000,42000
32,Chennai,79000,114000
35,Jaipur,66000,93000
38,Chennai,102000,147500
24,Chennai,29000,47000
27,Jaipur,45000,68500
29,Chennai,69000,120500
21,Delhi,28000,46500
38,Mumbai,104000,164000
38,Jaipur,94000,119500
34,Pune,84000,133000
32,Pune,84000,139000
34,Delhi,70000,112000
34,Kolkata,84000,126000
29,Bangalore,78000,141500
28,Chennai,53000,84500
28,Pune,68000,113000
23,Kolkata,30000,50000
31,Delhi,83000,131000
29,Kolkata,61000,86000
31,Lucknow,60000,82500
29,Jaipur,65000,93500
27,Pune,46000,81000
24,Pune,42000,74500
30,Kolkata,48000,74500
26,Jaipur,29000,44000
30,Lucknow,66000,98500
31,Hyderabad,73000,126000
36,Jaipur,92000,128500
23,Hyderabad,32000,59000
21,Lucknow,25000,39000
35,Ahmedabad,87000,124000
28,Kolkata,56000,83500
26,Jaipur,30000,44000
24,Jaipur,31000,50500
31,Ahmedabad,53000,78000
36,Chennai,92000,139000
36,Mumbai,112000,175500
28,Jaipur,46000,72000
25,Delhi,49000,85500
23,Jaipur,22000,35000
34,Kolkata,98000,138000
21,Bangalore,37000,69000
30,Jaipur,53000,72500
28,Kolkata,47000,66000
21,Delhi,44000,71500
25,Lucknow,32000,47000
21,Ahmedabad,21000,35500
22,Hyderabad,26000,45000
